Review Text,Sentiment
"['this', 'product', 'exceeded', 'my', 'expectation', 'highly', 'recommended', '!']",positive
"['the', 'quality', 'of', 'this', 'product', 'is', 'really', 'poor', 'im', 'disappointed']",negative
"['great', 'value', 'for', 'the', 'price', 'i', 'love', 'this', 'product', '!']",positive
"['terrible', 'product', 'waste', 'of', 'money']",negative
"['the', 'customer', 'service', 'wa', 'fantastic', 'im', 'impressed', '!']",positive
"['i', 'regret', 'buying', 'this', 'product', 'it', 'didnt', 'meet', 'my', 'expectation']",negative
"['the', 'product', 'arrived', 'on', 'time', 'and', 'in', 'perfect', 'condition', 'im', 'satisfied', '!']",positive
"['ive', 'never', 'been', 'so', 'disappointed', 'with', 'a', 'purchase', 'it', 'a', 'complete', 'waste', 'of', 'money']",negative
"['i', 'cant', 'imagine', 'my', 'life', 'without', 'this', 'product', 'it', 'amazing', '!']",positive
"['this', 'product', 'is', 'a', 'total', 'ripoff', 'i', 'wouldnt', 'recommend', 'it', 'to', 'anyone']",negative
"['the', 'quality', 'of', 'this', 'product', 'is', 'topnotch', 'worth', 'every', 'penny', '!']",positive
"['dont', 'waste', 'your', 'money', 'on', 'this', 'product', 'it', 'of', 'poor', 'quality']",negative
"['im', 'absolutely', 'thrilled', 'with', 'this', 'purchase', 'the', 'product', 'exceeded', 'my', 'expectation', '!']",positive
"['this', 'product', 'is', 'a', 'total', 'letdown', 'it', 'didnt', 'work', 'a', 'advertised']",negative
"['the', 'customer', 'support', 'team', 'wa', 'very', 'helpful', 'and', 'resolved', 'my', 'issue', 'promptly', 'great', 'service', '!']",positive
"['i', 'wouldnt', 'recommend', 'this', 'product', 'to', 'anyone', 'it', 'a', 'complete', 'disappointment']",negative
